id,password,email,campus_id,name,school,limit,role,is_active,is_verified
16,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rwebster@gmail.com,20027582,Richard Webster,CS,5,TEA,True,True
17,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,jcote@random.org,20201438,Josie Cote,SE,2,TEA,True,True
18,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ftownsend@somesite.net,20177520,Freddie Townsend,OE,1,TEA,True,True
19,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lhooper@cqu.edu.cn,20022271,Lillie Hooper,CE,2,TEA,True,True
20,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,hreeves@somesite.net,20174300,Howard Reeves,CS,0,TEA,True,True
21,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,alindsey@random.org,20163258,Angel Lindsey,OE,0,TEA,True,True
22,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,bwalsh@outlook.com,20155618,Bonnie Walsh,CS,5,TEA,True,True
23,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,sterry@gmail.com,20083567,Sheila Terry,CS,4,TEA,True,True
24,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,sbrady@somesite.net,20179829,Sherrie Brady,OE,3,TEA,True,True
25,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cday@gmail.com,20197384,Cathy Day,SE,4,TEA,True,True
26,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kpalmer@random.org,20115676,Kayla E. Palmer,CS,2,TEA,True,True
27,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rshaffer@outlook.com,20136702,Rosario Shaffer,CS,1,TEA,True,True
28,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,jthomas@outlook.com,20016727,Jodi Thomas,CE,3,TEA,True,True
29,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,adiaz@outlook.com,20196166,Arlene O. Diaz,CE,5,TEA,True,True
30,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tengland@random.org,20037935,Travis England,CE,4,TEA,True,True
31,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rroman@random.org,20082850,Ronald Roman,SE,2,TEA,True,True
32,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cbeard@gmail.com,20054294,Colleen Beard,SE,5,TEA,True,True
33,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mfernandez@random.org,20122586,Mathew Fernandez,CE,0,TEA,True,True
34,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dnorman@outlook.com,20014334,Donna Norman,AUTO,3,TEA,True,True
35,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rbarry@gmail.com,20127172,Roseann T. Barry,CE,1,TEA,True,True
36,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mrush@cqu.edu.cn,20035069,Mai Rush,SE,1,TEA,True,True
37,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ccarpenter@gmail.com,20126803,Chelsea Carpenter,SE,3,TEA,True,True
38,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,acrawford@cqu.edu.cn,20153086,Angeline Crawford,OE,1,TEA,True,True
39,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rallen@somesite.net,20192602,Rhonda Allen,CE,1,TEA,True,True
40,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,fharrington@somesite.net,20069151,Francisco Harrington,AUTO,2,TEA,True,True
41,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kslater@cqu.edu.cn,20104901,Kristin Slater,CE,3,TEA,True,True
42,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tshaw@cqu.edu.cn,20031731,Tisha Shaw,SE,4,TEA,True,True
43,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,nkidd@cqu.edu.cn,20182550,Norma Kidd,OE,0,TEA,True,True
44,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,bdennis@somesite.net,20164981,Brent Dennis,AUTO,2,TEA,True,True
45,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,nfox@gmail.com,20196795,Nell Fox,AUTO,0,TEA,True,True
46,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rpitts@gmail.com,20105107,Rhoda T. Pitts,OE,3,TEA,True,True
47,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dgraham@gmail.com,20043026,Debora Graham,AUTO,5,TEA,True,True
48,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ctalley@somesite.net,20165327,Clare W. Talley,OE,3,TEA,True,True
49,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dyang@somesite.net,20081917,Douglas Yang,AUTO,4,TEA,True,True
50,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lcollins@gmail.com,20042829,Leona Collins,AUTO,5,STU,True,True
51,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,jtanner@somesite.net,20207319,James Tanner,OE,0,STU,True,True
52,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,fallison@random.org,20079509,Francine Allison,OE,2,STU,True,True
53,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,myates@somesite.net,20175085,Meredith Yates,OE,1,STU,True,True
54,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mburris@random.org,20107786,Maryanne Burris,SE,4,STU,True,True
55,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,twiley@random.org,20102571,Twila Wiley,CS,2,STU,True,True
56,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mkline@outlook.com,20171662,Meagan Kline,CS,4,STU,True,True
57,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rlang@gmail.com,20189507,Ricky Q. Lang,CE,5,STU,True,True
58,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,msnow@random.org,20209188,Morris Snow,AUTO,3,STU,True,True
59,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,jrivas@outlook.com,20042487,Jane Rivas,CS,2,STU,True,True
60,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tdean@outlook.com,20111488,Teri Dean,AUTO,4,STU,True,True
61,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,asargent@gmail.com,20094772,Amanda Sargent,CS,4,STU,True,True
62,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,trobertson@gmail.com,20209226,Thomas N. Robertson,OE,2,STU,True,True
63,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,vjefferson@random.org,20039213,Vonda Jefferson,OE,5,STU,True,True
64,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rgiles@random.org,20074355,Randy Giles,CS,3,STU,True,True
65,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dsykes@outlook.com,20023808,Deloris Sykes,AUTO,5,STU,True,True
66,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,bdurham@outlook.com,20006620,Barry Durham,OE,5,STU,True,True
67,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,sbray@cqu.edu.cn,20149044,Sheri Bray,AUTO,5,STU,True,True
68,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,llucas@cqu.edu.cn,20097541,Leanna Lucas,AUTO,1,STU,True,True
69,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tmccullough@random.org,20084353,Tommy Mccullough,CE,2,STU,True,True
70,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dhardin@gmail.com,20163456,Desiree Hardin,AUTO,3,STU,True,True
71,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,wguy@random.org,20191493,Wayne Guy,AUTO,2,STU,True,True
72,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cvalenzuela@random.org,20084948,Concetta Valenzuela,AUTO,3,STU,True,True
73,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,egoodwin@gmail.com,20042536,Ericka Goodwin,AUTO,4,STU,True,True
74,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ajordan@cqu.edu.cn,20068708,Andrew Jordan,CS,2,STU,True,True
75,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,llowe@outlook.com,20076778,Lottie Lowe,CE,1,STU,True,True
76,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kblair@somesite.net,20063799,Kristen Blair,AUTO,1,STU,True,True
77,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tmaddox@outlook.com,20116697,Tanya Maddox,AUTO,1,STU,True,True
78,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lmejia@random.org,20135584,Lynn Mejia,OE,1,STU,True,True
79,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mfulton@somesite.net,20034864,Maryellen Fulton,CS,2,STU,True,True
80,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,gmorin@outlook.com,20175118,Georgia I. Morin,OE,3,STU,True,True
81,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kkey@gmail.com,20033806,Kimberly Key,SE,0,STU,True,True
82,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,bhughes@cqu.edu.cn,20017905,Betsy Hughes,SE,1,STU,True,True
83,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mwalker@outlook.com,20128076,Mamie Walker,SE,0,STU,True,True
84,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,fcastillo@random.org,20054993,Fernando Castillo,CS,1,STU,True,True
85,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mwade@cqu.edu.cn,20165736,Meghan I. Wade,CE,4,STU,True,True
86,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ameyer@outlook.com,20021372,Antonia E. Meyer,OE,5,STU,True,True
87,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cphelps@somesite.net,20203349,Corrine Phelps,CS,3,STU,True,True
88,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,wmontoya@random.org,20092690,Wallace Montoya,CS,0,STU,True,True
89,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,bnielsen@gmail.com,20145525,Betty Nielsen,CS,3,STU,True,True
90,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mschmidt@cqu.edu.cn,20059795,Marion Schmidt,CS,3,STU,True,True
91,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mparker@somesite.net,20133780,Marissa Parker,SE,4,STU,True,True
92,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ahaney@gmail.com,20071351,Alfredo Haney,AUTO,1,STU,True,True
93,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lhyde@gmail.com,20181517,Loraine Hyde,AUTO,4,STU,True,True
94,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,asaunders@outlook.com,20191826,Aisha Saunders,AUTO,1,STU,True,True
95,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,nfloyd@somesite.net,20068018,Nanette Floyd,OE,1,STU,True,True
96,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,eortega@outlook.com,20128453,Enid Ortega,SE,1,STU,True,True
97,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,wmcintosh@random.org,20005965,Wesley Mcintosh,CS,0,STU,True,True
98,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,zwilliam@cqu.edu.cn,20003839,Zachary William,CS,2,STU,True,True
99,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tdawson@random.org,20019333,Tony Dawson,AUTO,5,STU,True,True
100,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,vsherman@somesite.net,20171982,Viola Sherman,CE,3,STU,True,True
101,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,emcconnell@somesite.net,20056559,Estella Mcconnell,SE,4,STU,True,True
102,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cmcmillan@random.org,20151215,Carol S. Mcmillan,CE,0,STU,True,True
103,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dpickett@somesite.net,20208802,Dwight Pickett,AUTO,1,STU,True,True
104,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,trivera@random.org,20044519,Taylor Rivera,OE,2,STU,True,True
105,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,espears@outlook.com,20072984,Elinor Spears,CS,2,STU,True,True
106,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,dwhitley@outlook.com,20207207,Deanna Whitley,CS,0,STU,True,True
107,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,ahahn@cqu.edu.cn,20206556,Ava Hahn,OE,4,STU,True,True
108,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kmcfarland@somesite.net,20172234,Kaitlin Mcfarland,CE,3,STU,True,True
109,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,boliver@outlook.com,20053822,Brandi Oliver,AUTO,3,STU,True,True
110,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,cvalencia@random.org,20126986,Charlotte Valencia,OE,0,STU,True,True
111,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,adominguez@outlook.com,20122755,Alisa O. Dominguez,CS,5,STU,True,True
112,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,csullivan@outlook.com,20173159,Casandra Sullivan,OE,5,STU,True,True
113,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,aparrish@gmail.com,20143671,Alexandria Parrish,AUTO,0,STU,True,True
114,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,sking@gmail.com,20124299,Shanna King,CE,2,STU,True,True
115,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rramos@outlook.com,20029549,Rosemarie Ramos,CE,0,STU,True,True
116,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,hknapp@gmail.com,20028739,Helene Knapp,CS,2,STU,True,True
117,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,rheath@somesite.net,20133214,Rosalinda Heath,CS,1,STU,True,True
118,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,tclements@cqu.edu.cn,20175311,Theodore Clements,SE,5,STU,True,True
119,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,edelacruz@cqu.edu.cn,20128559,Emilia Delacruz,CE,4,STU,True,True
120,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,kboyd@random.org,20082011,Kenneth Boyd,OE,2,STU,True,True
121,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,sconner@random.org,20156407,Susie Conner,CS,2,STU,True,True
122,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mfranklin@random.org,20098905,Mari Franklin,SE,2,STU,True,True
123,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,eknowles@somesite.net,20167665,Estela Knowles,SE,4,STU,True,True
124,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,edaniels@outlook.com,20178717,Earline Daniels,CE,0,STU,True,True
125,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,nwatts@cqu.edu.cn,20102713,Nadine Watts,SE,0,STU,True,True
126,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,alynn@cqu.edu.cn,20064279,Alvin M. Lynn,CE,2,STU,True,True
127,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,trich@outlook.com,20148043,Terrance Rich,SE,4,STU,True,True
128,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,lhawkins@outlook.com,20078856,Louise Hawkins,AUTO,0,STU,True,True
129,pbkdf2_sha256$180000$NgmVkPjQVft1$gjw0B44I/q1HrvHpWGg0kmH8XswGWtsvW8ZwlaKEIdg=,mbanks@somesite.net,20088751,Mindy Banks,CS,4,STU,True,True
